Empresa;Precio Actual;Precio Objetivo;PER Promedio;EPS Promedio;Diff
DVA;144,4299927;100,3830493;13,05187383;9,048333333;-30%
DVN;33,54999924;38,6307574;8,371903266;5,428628167;15%
DXCM;85,05000305;139,7065888;164,3606927;1;
EA;149,2700043;115,8883766;37,43870022;3,641666667;
ECL;254,4799957;192,415991;43,24197786;5,235;
ED;103,5400009;79,33896368;18,56280224;5,028333333;-23%
EEFT;111,3199997;154,3379613;40,1254051;4,525164833;
EFX;276,3699951;216,7446067;47,64752194;5,351666667;
EG;347,7999878;327,7958694;11,1104062;34,71;-6%
EGP;172,4400024;158,7417908;43,16372451;4,326666667;
EHC;116,9300003;59,49750793;17,8034086;3,931666667;-49%
EIX;56,56000137;64,93064814;29,7812857;2,565;15%
EL;65,36000061;228,8268838;63,31328753;4,252;
ELF;74,06999969;85,05389979;95,66291732;1,046;
ELS;63,59000015;63,40278979;50,8627171;1,4665264;
ELV;416,6900024;376,4515833;17,24657599;25,6795445;-10%
EME;457,3099976;210,2136739;18,80685967;13,15;-54%
EMN;82,76999664;85,18026025;14,26167992;7,026666667;3%
EMR;119,4100037;126,2124729;19,89434792;7,463690833;6%
ENPH;47,93999863;150,5323964;107,7668987;1,643333333;
ENTG;82,38999939;97,965744;54,88276975;2,1;
EOG;114,0599976;97,32414188;10,55939045;10,84333333;-15%
EPAM;186,6000061;332,4820196;49,48201356;7,905;
EQIX;870,4699707;751,3499147;114,648648;7,71;
EQR;70,90000153;63,37612763;26,56537416;2,806666667;-11%
ESAB;128,6600037;77,51790442;23,07338004;3,9525;-40%
ESI;22,84000015;20,39713411;37,61227017;0,638;
ESS;286,2999878;257,9669826;35,90896089;8,451666667;
ETN;322,0899963;196,3055122;31,44284022;7,345;
ETR;81,26999664;58,27683829;21,90446844;3,13;-28%
EVR;233;186,664328;17,44281904;12,59;-20%
EVRG;65,34999847;53,45481676;17,38038316;3,618333333;-18%
EW;74,80000305;105,6769444;31,67536738;3,925;
EWBC;95,56999969;69,93078215;10,89448357;7,551666667;-27%
EXC;43,61000061;34,47988425;18,87685721;2,148904833;-21%
EXEL;36,97999954;22,84542143;25,71958507;1,045;-38%
EXP;239,5599976;139,8638231;14,63929486;11,24;-42%
EXPD;116,0800018;106,2236105;18,0157069;6,936666667;-8%
EXR;148,8899994;151,1664924;33,75696279;5,268333333;
FAF;60,59000015;82,69481986;14,70496121;6,616;36%
FANG;142,9199982;124,3998373;8,986966516;16,285;-13%
FAST;80,15000153;48,89876198;33,33021742;1,726;
FBIN;57,38999939;66,19262269;16,95137083;4,5939455;15%
FCN;164,8099976;147,8666323;23,1690225;7,508333333;-10%
FCNCA;1940,300049;2111,896147;11,13156429;223,2016667;9%
FCX;39,11000061;38,64203015;22,26130792;2,042162667;-1%
FDS;456,3999939;354,2516901;35,89785437;11,609794;
FDX;232,9499969;208,2388268;14,90471755;16,43686667;-11%
FE;41,72000122;40,78713127;26,83216793;1,788333333;-2%
FERG;176,6100006;139,3895298;18,91568992;8,6694;-21%
FFIV;280,3500061;160,1338663;26,8940448;7,005;-43%
FHB;24,63999939;22,04585601;13,36922742;1,94;-11%
FHN;20,05999947;16,14796074;12,04921831;1,576666667;-20%
FI;186,8200073;131,0048486;38,20715162;4,0338875;
FICO;2130;770,3944539;53,80507073;16,845;
FITB;39,24000168;34,01532199;11,71830919;3,415;-13%
FIVE;103,4899979;132,3130846;32,01989913;4,861428571;
FIX;451,8599854;96,23246776;20,3039218;5,576;-79%
FLO;17,60000038;22,12475332;26,12053909;0,996500167;26%
FLS;50,83000183;35,93601117;27,87538035;1,516666667;-29%
FMC;38,22000122;79,58204087;16,87967496;5,546666667;108%
FNB;14,34000015;11,41480831;10,64400495;1,261666667;-20%
FND;83,80000305;91,51478064;44,89136115;2,398333333;
FNF;57,72999954;53,69020907;11,718915;5,39;-7%
FOX;48,72000122;28,34973154;12,33455079;2,704;-42%
FOXA;52,41999817;30,30456303;13,18506919;2,704;-42%
FR;51,31000137;47,62801661;25,24007239;2,22;-7%
FRT;98,20999908;101,8195761;34,43825682;3,478333333;
FTNT;102,0400009;71,99275444;59,10492545;1,433;
FTV;73,73999786;63,78062502;35,6183684;2,106666667;
G;43,54000092;42,33250973;22,76186134;2,188;-3%
GD;276,2399902;204,9710589;19,2170877;12,54833333;-26%
GDDY;187,0099945;145,4368111;36,99505528;4,625;
GEHC;74,11000061;63,39862448;18,63500738;4,0025;-14%
GEN;29,05999947;22,45980432;17,99543646;1,468333333;-23%
GGG;86,44000244;67,91552158;28,74122792;2,78;-21%
GILD;103,8199997;247,2381808;92,43700676;3,146666667;
GIS;54,84000015;59,9302787;16,41588131;4,295;9%
GL;120,7200012;96,04755231;12,03377214;9,39;-20%
GLOB;138,3800049;223,9489599;80,61275817;3,268333333;
GLPI;46,5;42,00291884;18,80096334;2,628333333;-10%
GLW;46,97000122;40,26687352;47,13710684;1,005;
GM;49,61000061;41,75650624;7,37248146;6,663333333;-16%
GMED;59,00999832;70,95888995;67,14293325;1,243333333;
GNRC;127,2099991;168,1361892;32,25118718;6,133333333;
GNTX;23,37000084;26,72249044;19,32677708;1,626666667;14%
GO;14,18000031;20,49379491;40,52159153;0,595;
GOOG;159,5800018;127,3469272;23,60731883;6,346333333;-20%
GOOGL;158,4600067;126,7515124;23,49694202;6,346333333;-20%
GPC;121,9899979;117,6497278;19,19714903;7,21;-4%
GPK;23,05999947;22,18657708;21,67928188;1,204;-4%
GPN;83,13999939;204,4379889;94,39375236;2,548;
GRMN;197,9799957;125,7680611;23,51097852;6,293333333;-36%
GS;591,3400269;416,7844255;11,48728158;42,68500033;-30%
GTES;22;14,3095007;19,57524035;0,86;-35%
GWW;1067,449951;636,9526501;24,4129682;30,695;-40%
GXO;40,79000092;53,94097887;44,74263817;1,418333333;
HAYW;14,73999977;15,94226662;34,30903864;0,546666667;
HBAN;15,93000031;12,80937395;14,32495409;1,052;-20%
HCA;363,2799988;230,5370314;12,59019051;21,542171;-37%
HD;376,5899963;286,7072175;22,04592215;15,3;-24%
HEI;268,480011;144,6895329;60,008101;2,836666667;
HES;135,2100067;129,8141638;27,49064157;5,555437667;-4%
HIG;128,6399994;59,04390828;10,66359797;6,5140698;-54%
HII;229,7400055;174,3805739;14,24183383;14,405;-24%
HIW;30,40999985;31,92431063;15,44326172;2,432;5%
HLI;177,8500061;101,8930337;22,9937642;5,213333333;-43%
HLT;252,4199982;205,8006997;59,88090773;4,043333333;
HOG;24,85000038;30,16993177;8,400955593;4,225;21%
HOLX;58,81000137;74,68884958;20,13040889;4,365;27%
HON;219,3399963;182,7820716;26,11794307;8,233333333;-17%
HPE;17,73999977;16,58610928;12,96549485;1,505;-7%
HPQ;28,26000023;25,87697355;8,710586063;3,495;-8%
HRB;57,5;27,75937642;9,103791778;3,587306333;-52%
HRL;29,54999924;32,58940352;23,64263601;1,621666667;10%
HSIC;70,47000122;64,74551131;20,503685;3,715;-8%
HSY;167,5800018;169,1034882;21,84211677;9,108333333;1%
HUBB;378,4100037;257,5689041;27,05153163;11,20166667;-32%
HUM;252,8600006;351,5672466;23,00167905;17,98166667;39%
HWM;156,9600067;57,75006489;41,46973722;1,638333333;
HXL;54,02999878;109,3927219;121,6037668;1,058333333;
IBKR;197,2400055;94,84735539;22,30215669;5,003333333;-52%
IBM;253,6900024;157,0555678;31,69318289;5,83;
ICE;173,4400024;123,260532;28,22167834;5,138333333;-29%
IDA;112,1999969;92,4749268;21,08411464;5,16;-18%
IDXX;509,5299988;442,642985;54,51995668;9,551666667;
IEX;191,2899933;190,6529808;33,0254171;6,791666667;
INCY;60,84999847;302,8623364;162,9460203;2,186666667;
INGR;137,2299957;155,8053359;27,21609431;6,735;14%
INTU;662,2999878;452,3863112;62,48170811;8,518;
INVH;34,49000168;34,04648497;62,26117336;0,643333333;
IP;47,90999985;56,69754292;23,30914095;2,861666667;18%
IPG;25,64999962;28,26063798;14,47654981;2,296666667;10%
IQV;156,1300049;205,9693939;37,81278554;6,408333333;
IR;84,22000122;61,17255979;41,96368362;1,715;
